Name,Qty,Final Price- INR (USD),Link
Gateron EF Grayish,80,1560 ($18.19),https://neomacro.in/products/gateron-ef-grayish
Durock Smokey Screw-In Stabilizers V2 (4+1 w/ 6.25u spacebar),1,1595 ($18.6),https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
Cherry Profile PBT Keycaps,1,1299 ($15.14),https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys
Diode 1N4148 Through â€“ Hole,100,169 ($1.97),https://amzn.in/d/j3eLvoh
"0.91"" OLED SSD1306",1,166 ($1.92),https://amzn.in/d/3cISYEV
EC11 Rotary Encoder,2,178 ($2.08),https://amzn.in/d/hVRxzij
M3 x 20mm Bolt,15,149 ($1.73),https://amzn.in/d/8GRQWAB
M3 Nuts,8,100 ($1.16),https://amzn.in/d/7UQtsm8
M3 x 5mm Heatset Insert,25,179 ($2.09),https://amzn.in/d/ixybuAc
PCB - (Black Color),5,"4,923.83 ($56.87)",https://hc-cdn.hel1.your-objectstorage.com/s/v3/74e4c45af47010a7cc1c4b92517cf708e2c89ca2_swappy-20250622-232946.png
Raspberry Pi Pico,1,449 ($5.19),http://amazon.in/Raspberry-Pi-Headers-Soldered-Micro/dp/B08WPNM7JB/ref=sr_1_2?sr=8-2
Soldering Iron,1,450 ($5.20),https://www.amazon.in/INDITRUST-Soldering-adjustable-Temperature-Controlled/dp/B0DP7GJ5YK/ref=sr_1_9?sr=8-9
"Top Case - 1 (Black ""./production/top.step"")",1,Print Legion,
"Bottom Case - 2 (Black ""./production/bottom.step"")",1,Print Legion,
